Rank,ADP,Player,FGM,FGA,FG%,FTM,FTA,FT%,3PM,PTS,REB,AST,STL,BLK,TO
1,1.1,Nikola Jokic,9.2,14.8,0.624,5.0,6.1,0.821,1.0,24.5,11.7,9.7,1.4,0.7,3.7
2,3.3,Joel Embiid,10.8,20.0,0.537,9.9,11.9,0.836,1.2,32.6,10.2,4.2,1.1,1.6,3.3
3,5.5,Shai Gilgeous-Alexander,9.7,20.0,0.486,9.2,10.4,0.884,1.0,29.6,5.0,5.6,1.5,0.9,2.9
4,6.6,Tyrese Haliburton,9.0,18.4,0.488,2.6,3.0,0.857,2.8,23.3,4.0,10.5,1.7,0.4,2.6
5,5.2,Jayson Tatum,9.8,21.0,0.466,6.6,7.7,0.858,3.3,29.5,8.2,4.8,1.1,0.7,3.0
6,2.7,Luka Doncic,11.0,22.4,0.492,7.8,10.2,0.761,3.0,32.7,8.8,8.1,1.3,0.5,3.6
7,6.5,Stephen Curry,9.4,19.8,0.476,4.5,4.9,0.914,4.7,28.0,5.6,5.6,0.9,0.3,3.3
8,11.4,Kevin Durant,8.8,16.8,0.522,5.9,6.6,0.9,1.9,25.3,6.5,5.0,0.7,1.0,3.1
9,11.0,Damian Lillard,8.2,17.8,0.461,7.1,7.8,0.903,3.8,27.2,4.0,6.9,0.9,0.3,3.1
10,12.8,Kyrie Irving,9.8,20.1,0.486,4.0,4.4,0.908,3.2,26.7,4.8,5.5,1.2,0.7,2.2
11,12.5,Anthony Davis,9.3,17.0,0.55,5.3,7.0,0.759,0.3,24.3,11.2,2.8,1.1,2.1,2.1
12,12.4,LaMelo Ball,8.3,19.4,0.428,3.0,3.5,0.86,3.7,23.4,7.0,8.6,1.6,0.4,3.6
13,17.9,Donovan Mitchell,9.8,20.5,0.477,4.5,5.2,0.86,3.6,27.7,4.4,4.4,1.5,0.3,2.7
14,15.6,Devin Booker,9.8,20.1,0.487,5.3,6.1,0.861,2.3,27.2,4.9,6.3,1.1,0.4,2.6
15,18.6,Trae Young,8.9,20.4,0.434,7.2,8.1,0.895,2.2,27.1,3.4,10.0,1.1,0.1,4.1
16,16.3,Domantas Sabonis,7.4,12.2,0.608,4.1,5.5,0.743,0.5,19.5,12.4,7.3,0.9,0.5,3.0
17,19.5,Jaren Jackson Jr.,7.0,14.6,0.479,4.0,5.0,0.795,1.7,19.6,7.1,1.2,1.0,2.6,2.0
18,28.4,James Harden,5.9,13.8,0.424,5.9,6.8,0.862,2.4,20.0,5.6,10.1,1.1,0.5,3.8
19,25.4,Jimmy Butler,7.0,13.6,0.511,6.9,8.0,0.859,0.5,21.3,5.7,5.0,1.6,0.4,1.8
